feature,importance,split
DTF_season_cos_-0.0333235257116313,0.0,0
DTF_season_cos_-0.0161265732706577,0.0,0
DTF_season_cos_0.0010751512827982,0.0,0
DTF_season_cos_0.0182765576816912,0.0,0
DTF_season_cos_0.0354725557531255,0.0,0
DTF_season_cos_0.052658056924614,0.0,0
DTF_season_cos_0.0698279757298708,0.0,0
DTF_season_cos_0.0869772313136861,0.0,0
DTF_season_cos_0.1041007489354256,0.0,0
DTF_season_cos_0.121193461470736,0.0,0
DTF_season_cos_0.1382503109109819,0.0,0
DTF_season_cos_0.1552662498599956,0.0,0
DTF_season_cos_0.172236243027682,0.0,0
DTF_season_cos_0.1891552687200409,0.0,0
DTF_season_cos_0.2060183203251708,0.0,0
DTF_season_cos_0.2228204077947995,0.0,0
DTF_season_cos_0.239556559120927,0.0,0
DTF_season_cos_0.2562218218071163,0.0,0
DTF_season_cos_0.2728112643340191,0.0,0
DTF_season_cos_0.2893199776186952,0.0,0
DTF_season_cos_0.3057430764672831,0.0,0
DTF_season_cos_0.3220757010206104,0.0,0
DTF_season_cos_0.3383130181923076,0.0,0
DTF_season_cos_0.3544502230989869,0.0,0
DTF_season_cos_0.3704825404820963,0.0,0
DTF_season_cos_0.3864052261209853,0.0,0
DTF_season_cos_0.4022135682368036,0.0,0
DTF_season_cos_0.4179028888867866,0.0,0
DTF_season_cos_0.4334685453485363,0.0,0
DTF_season_cos_0.4489059314938798,0.0,0
DTF_season_cos_0.4642104791518923,0.0,0
DTF_season_cos_0.4793776594606945,0.0,0
DTF_season_cos_0.4944029842076181,0.0,0
DTF_season_cos_0.5092820071573356,0.0,0
DTF_season_cos_0.5240103253675756,0.0,0
DTF_season_cos_0.5385835804920232,0.0,0
DTF_season_cos_0.5529974600700271,0.0,0
DTF_season_cos_0.5672476988027229,0.0,0
DTF_season_cos_0.5813300798152042,0.0,0
DTF_season_cos_0.5952404359043674,0.0,0
DTF_season_cos_0.6089746507720486,0.0,0
